ods_code,care,numtreat_total,numtreat_less62days,numtreat_more62days,percenttreat_62days,wait_within31,wait_32to38,wait_39to48,wait_49to62,wait_63to76,wait_77to90,wait_91to104,wait_104plus,observed_deaths,expected_deaths,shmi_ind,patient_admissions,beds_day,beds_night,_Chemical_pathology,_Clinical_oncology,_Clinical_radiology,_General_pathology,_Haematology,_Histopathology,_Medical_oncology,hee_region_code,_admin_supp_DNM,_admin_supp_STT,_management_staff,_nursing_staff,_stt_staff,ytd_plan,ytd_actual,hospitalN,rating_Q12,rating_Q16,rating_Q17,rating_Q25,rating_Q31,rating_Q55,rating_Q56,rating_Q59,rating_Q6,planactual_diff,ytd_plan_miss,deficit,regions,nhs_trust,oncology_staff,cat_numtreat_total,cat_patient_admissions,cat_beds_day,cat_beds_night,cat__Chemical_pathology,cat__Clinical_oncology,cat__Clinical_radiology,cat__General_pathology,cat__Haematology,cat__Histopathology,cat__Medical_oncology,cat__admin_supp_DNM,cat__admin_supp_STT,cat__management_staff,cat__nursing_staff,cat__stt_staff,cat_oncology_staff
RM1,ALL CARE,469,338,131,.7206999999999999,115,45,60,118,40.5,47.5,16,27,403,379.62289,Above expected,18021,133,943.9888888888889,0,18.75,71.900002,.1,12.5,26.325001,0,YDF22,1353.6152,221.76797,0,1547.3834,211.78271,-24042,-24319,2,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed better than expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,277,Did not financially perform as expected,In deficit, East of England,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,129.575,Much higher than average,Much higher than average,Much higher than average,Much higher than average,None,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,None,Much higher than average,Much higher than average,None,Much higher than average,Much higher than average,Much higher than average
RM2,ALL CARE,227.5,197,30.5,.8659,45.5,32.5,46.5,72.5,11,7,7.5,5,247,258.31479,Lower than expected,10156,22.54444444444444,774.7111111111111,2.5,0,40.599998,0,0,16.676001,10.5625,YDF31,1275.4954,131.17119,0,1447.4012,142.49065,427,3121,2,Performed worse than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,2694,Performed better or as expected financially,Not in deficit, North West,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,70.338501,Slightly higher than average,Slightly higher than average,Much lower than average,Slightly higher than average,Much higher than average,None,Much higher than average,None,None,Much higher than average,Much higher than average,Slightly higher than average,Much higher than average,None,Much higher than average,Slightly higher than average,Slightly higher than average
RM3,ALL CARE,198,178,20,.899,89,14.5,27,47.5,7,8,3.5,1.5,174,188.42081,Lower than expected,8341,30.8,753.0222222222222,0,0,38.200001,0,6.3899999,0,0,YDF31,1446.7133,95.28466,0,1391.9329,103.10444,-4099,5004,1,Performed worse than expected,Performed worse than expected,Performed as expected,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,Performed as expected,905,Performed better or as expected financially,Not in deficit, North West,SALFORD ROYAL NHS FOUNDATION TRUST,44.59,Slightly lower than average,Slightly higher than average,Much lower than average,Slightly higher than average,None,None,Much higher than average,None,Slightly higher than average,None,None,Much higher than average,Slightly higher than average,None,Slightly higher than average,Slightly higher than average,Slightly higher than average
RMC,ALL CARE,152.5,147,5.5,.9639,62,17.5,27,40.5,3,1,1,.5,161,144.2294,Above expected,6505,43.65555555555556,599.3333333333334,0,0,17.825001,0,0,5.5999999,0,YDF31,1058.157,66.170937,10.24,863.62555,75.540009,11901,15606,1,Performed worse than expected,Performed worse than expected,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,Performed worse than expected,Performed as expected,Performed as expected,3705,Performed better or as expected financially,Not in deficit, North West,BOLTON NHS FOUNDATION TRUST,23.425001,Slightly lower than average,Slightly lower than average,Slightly lower than average,Slightly lower than average,None,None,Slightly lower than average,None,None,Slightly higher than average,None,Slightly higher than average,Slightly lower than average,Slightly lower than average,Slightly lower than average,Slightly lower than average,Slightly lower than average
RMP,ALL CARE,129,117.5,11.5,.9109,48.5,14.5,27.5,27,4,1.5,1.5,4.5,129,97.886703,Above expected,4901,45.7,482.2333333333334,0,0,3.3499999,0,0,0,0,YDF31,756.38507,38.30267,0,585.64667,53.537868,-17135,-13321,1,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,3814,Performed better or as expected financially,In deficit, North West,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,3.3499999,Much lower than average,Slightly lower than average,Slightly lower than average,Slightly lower than average,None,None,Much lower than average,None,None,None,None,Slightly lower than average,Much lower than average,None,Much lower than average,Much lower than average,Much lower than average
RN3,ALL CARE,163.5,141,22.5,.8623999999999999,46,15.5,31.5,48,7.5,8.5,3.5,3,192,189.8707,Above expected,3938,78.06666666666666,499.0111111111111,0,0,13.85,0,10.34091,0,4.7754998,YDF33,893.90839,81.537071,29.4,830.1731,60.032009,764,4313,7,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,3549,Performed better or as expected financially,Not in deficit, South West,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,28.96641,Slightly lower than average,Much lower than average,Slightly higher than average,Slightly lower than average,None,None,Slightly lower than average,None,Slightly higher than average,None,Much higher than average,Slightly lower than average,Slightly lower than average,Much higher than average,Slightly lower than average,Much lower than average,Slightly lower than average
RN5,ALL CARE,303,263,40,.868,103,33.5,50.5,76,15.5,9,5.5,10,297,267.43771,Above expected,10758,56.97777777777777,788.4888888888889,0,0,21.307501,0,17.200001,0,3.3200002,YDF24,1163.6344,144.46532,27.280001,1137.6725,122.64115,6776,9046,4,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,2270,Performed better or as expected financially,Not in deficit, Wessex,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,41.827503,Slightly higher than average,Slightly higher than average,Slightly lower than average,Slightly higher than average,None,None,Slightly higher than average,None,Much higher than average,None,Slightly higher than average,Slightly higher than average,Much higher than average,Slightly higher than average,Slightly higher than average,Slightly higher than average,Slightly higher than average
RN7,ALL CARE,141,120.5,20.5,.8545999999999999,23,18,21.5,58,4.5,6.5,5.5,4,158,161.17439,Lower than expected,7713,63,526.6444444444444,0,0,15.45,0,0,0,0,YDF29,672.98096,69.298393,15.48,727.4458,76.178932,6121,-382,2,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,Performed as expected,5739,Did not financially perform as expected,In deficit," Kent, Surrey and Sussex",DARTFORD AND GRAVESHAM NHS TRUST,15.45,Slightly lower than average,Slightly lower than average,Slightly lower than average,Slightly lower than average,None,None,Slightly lower than average,None,None,None,None,Slightly lower than average,Slightly lower than average,Slightly lower than average,Slightly lower than average,Slightly lower than average,Much lower than average
RNA,ALL CARE,241.5,198.5,43,.8219,59,24,40,75.5,16,15,3.5,8.5,225,197.7765,Above expected,8597,133.9222222222222,738.0444444444445,0,0,0,0,0,4.1999998,0,YDF32,1017.8729,110.48559,19.62162,939.61334,90.068542,9870,11609,3,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,Performed better than expected,1739,Performed better or as expected financially,Not in deficit, West Midlands,THE DUDLEY GROUP NHS FOUNDATION TRUST,4.1999998,Slightly higher than average,Slightly higher than average,Much higher than average,Slightly higher than average,None,None,None,None,None,Slightly higher than average,None,Slightly higher than average,Slightly higher than average,Slightly higher than average,Slightly higher than average,Slightly lower than average,Much lower than average
RNL,ALL CARE,225.5,185,40.5,.8204,65.5,32.5,39,48,18,6.5,7.5,8.5,187,208.5397,Lower than expected,6777,93.13333333333334,547.1888888888889,0,0,12.3,0,0,0,0,YDF31,770.29736,81.50856,0,934.58191,101.43842,-49500,-47328,2,Performed better than expected,Performed better than expected,Performed better than expected,Performed as expected,Performed worse than expected,Performed as expected,Performed better than expected,Performed better than expected,Performed as expected,2172,Performed better or as expected financially,In deficit, North West,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,12.3,Slightly higher than average,Slightly lower than average,Slightly higher than average,Slightly lower than average,None,None,Much lower than average,None,None,None,None,Slightly lower than average,Slightly lower than average,None,Slightly lower than average,Slightly lower than average,Much lower than average
RNQ,ALL CARE,167.5,138.5,29,.8269,40,15.5,34,49,11,10.5,6.5,1,147,111.454,Above expected,7630,37.58888888888889,625,0,0,12.2,3.5999999,5.5,5.8000002,0,YDF21,836.19208,83.03875,0,834.39191,70.781601,-5966,-24552,1,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,Performed better than expected,Performed better than expected,18586,Did not financially perform as expected,In deficit, East Midlands,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,27.1,Slightly lower than average,Slightly lower than average,Much lower than average,Slightly lower than average,None,None,Much lower than average,Much higher than average,Slightly higher than average,Slightly higher than average,None,Slightly lower than average,Slightly higher than average,None,Slightly lower than average,Slightly lower than average,Slightly lower than average
RNS,ALL CARE,218.5,172.5,46,.7895,47.5,25.5,43,56.5,10.5,14,10.5,11,242,234.82381,Above expected,7107,79.8,739.4,0,10.22275,14.2,0,9.1999998,1.95,0,YDF21,908.828,89.069077,40.047459,960.01215,122.71333,-15129,-13847,1,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,1282,Performed better or as expected financially,In deficit, East Midlands,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,35.57275,Slightly higher than average,Slightly lower than average,Slightly higher than average,Slightly higher than average,None,Slightly higher than average,Slightly lower than average,None,Slightly higher than average,Slightly higher than average,None,Slightly lower than average,Slightly higher than average,Much higher than average,Slightly higher than average,Slightly higher than average,Slightly higher than average
RNZ,ALL CARE,143,120,23,.8392000000000001,30,20.5,31.5,38,9,6.5,5.5,2,188,153.3618,Above expected,5434,92,472,.60000002,0,11.1,0,5.96591,5.5500002,0,YDF24,658.37488,64.562141,14.8,617.22198,62.569736,1772,3818,1,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed worse than expected,2046,Performed better or as expected financially,Not in deficit, Wessex,SALISBURY NHS FOUNDATION TRUST,23.21591,Slightly lower than average,Slightly lower than average,Slightly higher than average,Slightly lower than average,Much higher than average,None,Much lower than average,None,Slightly higher than average,Slightly higher than average,None,Slightly lower than average,Slightly lower than average,Slightly lower than average,Slightly lower than average,Slightly lower than average,Slightly lower than average
RP5,ALL CARE,197.5,171.5,26,.8684000000000001,62,25,32.5,52,10,6,6,4,403,349.84451,Above expected,9951,114.6888888888889,848.8333333333334,0,0,10.15,0,7,3,0,YDF23,1228.9252,207.23016,33.220001,1258.963,114.23781,-26468,-7293,4,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,Performed better than expected,Performed as expected,19175,Performed better or as expected financially,In deficit, Yorkshire and the Humber,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,20.15,Slightly lower than average,Slightly higher than average,Much higher than average,Slightly higher than average,None,None,Much lower than average,None,Slightly higher than average,Slightly higher than average,None,Slightly higher than average,Much higher than average,Much higher than average,Slightly higher than average,Slightly higher than average,Slightly lower than average
RPA,ALL CARE,200.5,159,41.5,.7929999999999999,39.5,35,45.5,39,12.5,11.5,4,13.5,222,193.573,Above expected,1692,14,488,0,0,0,0,7.5999999,0,0,YDF29,943.67664,22.11334,24.773331,697.79382,98.279747,-43686,-43216,1,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,470,Performed better or as expected financially,In deficit," Kent, Surrey and Sussex",MEDWAY NHS FOUNDATION TRUST,7.5999999,Slightly lower than average,Much lower than average,Much lower than average,Slightly lower than average,None,None,None,None,Slightly higher than average,None,None,Slightly lower than average,Much lower than average,Slightly higher than average,Slightly lower than average,Slightly lower than average,Much lower than average
RQ6,ALL CARE,140,121,19,.8643000000000001,42.5,16.5,31,31,7.5,3.5,3,5,231,198.72519,Above expected,8602,137.2333333333333,805,0,0,43.949997,0,15.2,29.700001,0,YDF31,1094.9084,153.41386,32.200001,1713.4939,189.03799,15900,1329,3,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed worse than expected,Performed worse than expected,Performed as expected,14571,Did not financially perform as expected,Not in deficit, North West,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,88.849998,Much lower than average,Slightly higher than average,Much higher than average,Slightly higher than average,None,None,Much higher than average,None,Much higher than average,Much higher than average,None,Slightly higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average
RQ8,ALL CARE,333.5,251,82.5,.7526000000000001,70.5,47,66,67.5,33,19,11.5,19,259,208.50279,Above expected,7831,51.43333333333333,512.2444444444444,0,1.7,13.101,0,4.3090897,13,0,YDF22,962.75256,61.226669,16.93334,1015.7655,74.1008,-26600,-23977,3,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,2623,Performed better or as expected financially,In deficit, East of England,MID ESSEX HOSPITAL SERVICES NHS TRUST,32.110088,Much higher than average,Slightly lower than average,Slightly lower than average,Slightly lower than average,None,Slightly higher than average,Slightly lower than average,None,Slightly higher than average,Much higher than average,None,Slightly higher than average,Slightly lower than average,Slightly lower than average,Slightly higher than average,Slightly lower than average,Slightly lower than average
RQM,ALL CARE,134,117,17,.8731,29.5,16.5,25.5,45.5,6.5,4,3.5,3,154,149.09109,Above expected,9276,99.63333333333334,742.3444444444444,0,6.8499999,43.459999,0,0,0,0,YDF26,958.77295,22.286671,43.799999,1157.9401,146.75626,4417,10471,1,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,6054,Performed better or as expected financially,Not in deficit, North West London,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,50.309998,Much lower than average,Slightly higher than average,Slightly higher than average,Slightly higher than average,None,Slightly higher than average,Much higher than average,None,None,None,None,Slightly higher than average,Much lower than average,Much higher than average,Slightly higher than average,Slightly higher than average,Slightly higher than average
RQW,ALL CARE,161.5,149.5,12,.9257,65,17.5,36.5,30.5,6,2,1.5,2.5,112,93.613304,Above expected,4897,84,435.7666666666667,0,1.72727,16.825001,0,0,12.8,0,YDF22,699.7699,20.133329,25.61334,560.96924,70.984787,-29665,-26715,3,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,2950,Performed better or as expected financially,In deficit, East of England,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,31.35227,Slightly lower than average,Slightly lower than average,Slightly higher than average,Much lower than average,None,Slightly higher than average,Slightly lower than average,None,None,Slightly higher than average,None,Slightly lower than average,Much lower than average,Slightly higher than average,Much lower than average,Slightly lower than average,Slightly lower than average
RQX,ALL CARE,65,57,8,.8769,26,6,6.5,18.5,3,3,2,0,32,37.807098,Lower than expected,3451,11.2,392.3,0,0,0,0,0,0,0,YDF28,558.99365,37.16,6.4000001,557.92505,56.193329,1402,4122,1,Performed as expected,Performed as expected,Performed better than expected,Performed better than expected,Performed as expected,Performed better than expected,Performed as expected,Performed better than expected,Performed as expected,2720,Performed better or as expected financially,Not in deficit, North Central and East London,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,0,Much lower than average,Much lower than average,Much lower than average,Much lower than average,None,None,None,None,None,None,None,Much lower than average,Much lower than average,Much lower than average,Much lower than average,Much lower than average,None
RR1,ALL CARE,464.5,406.5,58,.8751000000000001,82,69.5,115.5,139.5,19.5,20,7.5,11,369,660.44403,Lower than expected,14831,45,1369,0,0,39.695,0,22.21525,20.699999,0,YDF32,1947.4557,90.622673,18.353331,2145.2803,213.49576,-13476,-11602,3,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,1874,Performed better or as expected financially,In deficit, West Midlands,HEART OF ENGLAND NHS FOUNDATION TRUST,82.610245,Much higher than average,Much higher than average,Slightly lower than average,Much higher than average,None,None,Much higher than average,None,Much higher than average,Much higher than average,None,Much higher than average,Slightly higher than average,Slightly higher than average,Much higher than average,Much higher than average,Much higher than average
RR7,ALL CARE,193.5,163.5,30,.845,55.5,24,30.5,53.5,14.5,4,4,7.5,147,123.2721,Above expected,2532,88,492,0,0,17.625,0,0,0,0,YDF30,775.63745,140.0538,0,737.63995,81.977852,296,4715,3,Performed worse than expected,Performed worse than expected,Performed as expected,Performed as expected,Performed worse than expected,Performed worse than expected,Performed as expected,Performed worse than expected,Performed worse than expected,4419,Performed better or as expected financially,Not in deficit, North East,GATESHEAD HEALTH NHS FOUNDATION TRUST,17.625,Slightly lower than average,Much lower than average,Slightly higher than average,Slightly lower than average,None,None,Slightly lower than average,None,None,None,None,Slightly lower than average,Much higher than average,None,Slightly lower than average,Slightly lower than average,Much lower than average
RR8,ALL CARE,535.5,402.5,133,.7515999999999999,101.5,56,101.5,143.5,49,34.5,25.5,24,797,768.39679,Above expected,23276,243.2555555555556,1686.566666666667,2,29.962749,100.53575,0,34.099998,54.5765,38.400002,YDF23,3030.3684,311.03732,0,2784.9495,434.95789,1200,-1901,7,Performed worse than expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,Performed as expected,701,Did not financially perform as expected,In deficit, Yorkshire and the Humber,LEEDS TEACHING HOSPITALS NHS TRUST,259.57501,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,None,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,None,Much higher than average,Much higher than average,Much higher than average
RRF,ALL CARE,152,144,8,.9473999999999999,56.5,22,33,32.5,1.5,3,3,.5,234,170.1888,Above expected,8820,116.0555555555556,495.4111111111111,0,0,0,0,0,0,1.1,YDF31,1059.5829,59.397869,6.9466701,936.18671,114.07768,3724,14073,3,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,10349,Performed better or as expected financially,Not in deficit, North West,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",1.1,Slightly lower than average,Slightly higher than average,Much higher than average,Slightly lower than average,None,None,None,None,None,None,Slightly higher than average,Slightly higher than average,Slightly lower than average,Slightly lower than average,Slightly lower than average,Slightly higher than average,Much lower than average
RRK,ALL CARE,296,213,83,.7195999999999999,72.5,22,41,77.5,22,23.5,19,18.5,329,382.254,Lower than expected,11851,111.0666666666667,1076,0,47.650002,63.224998,0,21.799999,20.4,0,YDF32,1396.285,160.09941,0,2206.7893,260.69708,4600,11178,2,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,6578,Performed better or as expected financially,Not in deficit, West Midlands,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,153.075,Slightly higher than average,Much higher than average,Slightly higher than average,Much higher than average,None,Much higher than average,Much higher than average,None,Much higher than average,Much higher than average,None,Much higher than average,Much higher than average,None,Much higher than average,Much higher than average,Much higher than average
RRV,ALL CARE,240.5,156.5,84,.6507,42.5,17.5,22,74.5,23.5,18.5,14,28,386,373.90311,Above expected,13623,182.8111111111111,828.7222222222222,0,21.042749,79.574997,0,53.525002,30,42.6875,YDF28,1484.8512,20.560001,129.30667,2102.7905,262.80936,-11000,43553,8,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,32553,Performed better or as expected financially,Not in deficit, North Central and East London,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,226.83025,Slightly higher than average,Much higher than average,Much higher than average,Slightly higher than average,None,Much higher than average,Much higher than average,None,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much lower than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average
RTD,ALL CARE,470,404,66,.8595999999999999,155.5,39,72.5,137,30,14.5,8,13.5,486,635.0896,Lower than expected,25191,250.3111111111111,1491.9,0,31.949999,66.275002,0,28.424999,36.950001,14.900001,YDF30,2329.4236,218.70622,43.16666,2634.6973,285.04346,7501,14240,4,Performed worse than expected,Performed worse than expected,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,6739,Performed better or as expected financially,Not in deficit, North East,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,178.5,Much higher than average,Much higher than average,Much higher than average,Much higher than average,None,Much higher than average,Much higher than average,None,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average
RTF,ALL CARE,202,172,30,.8515,47,24.5,39.5,61,7.5,7.5,4.5,10.5,611,497.13989,Above expected,9408,110.7777777777778,933.4555555555555,0,0,18.625,0,8.1009998,9.3999996,0,YDF30,1434.5074,71.284813,79.606659,1228.5765,94.307198,29306,37264,10,Performed worse than expected,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,7958,Performed better or as expected financially,Not in deficit, North East,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,36.125999,Slightly lower than average,Slightly higher than average,Slightly higher than average,Much higher than average,None,None,Slightly lower than average,None,Slightly higher than average,Slightly higher than average,None,Much higher than average,Slightly lower than average,Much higher than average,Slightly higher than average,Slightly lower than average,Slightly higher than average
RTG,ALL CARE,374.5,280,94.5,.7476999999999999,77,46.5,50,106.5,24,30.5,14,26,528,457.16751,Above expected,15366,119.4666666666667,1012.655555555556,0,26.5,30.924999,0,10,0,0,YDF21,1751.9978,72.660011,35.1576,1792.9878,219.01534,-11216,-9149,2,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,2067,Performed better or as expected financially,In deficit, East Midlands,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,67.425003,Much higher than average,Much higher than average,Much higher than average,Much higher than average,None,Much higher than average,Slightly higher than average,None,Slightly higher than average,None,None,Much higher than average,Slightly lower than average,Much higher than average,Much higher than average,Much higher than average,Slightly higher than average
RTH,ALL CARE,593.5,451.5,142,.7606999999999999,165,46,99,141.5,49,38,29,26,670,629.46619,Above expected,21768,217.1111111111111,1129.933333333333,0,33.469002,82.568001,0,33.650002,30.949999,21.187,YDF25,2292.8975,178.91576,59.185951,2757.1318,331.29419,36673,3615,4,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,33058,Did not financially perform as expected,Not in deficit, Thames Valley,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,201.82401,Much higher than average,Much higher than average,Much higher than average,Much higher than average,None,Much higher than average,Much higher than average,None,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average
RTK,ALL CARE,199.5,166,33.5,.8321,61,24,28.5,52.5,7,11,9,6.5,127,127.3859,As expected,7928,44.48888888888889,517.8888888888889,0,0,18.02636,0,0,0,0,YDF29,603.1391,85.169868,17.639999,726.68872,65.174393,12966,7331,4,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,5635,Did not financially perform as expected,Not in deficit," Kent, Surrey and Sussex",ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,18.02636,Slightly lower than average,Slightly lower than average,Slightly lower than average,Slightly lower than average,None,None,Slightly lower than average,None,None,None,None,Much lower than average,Slightly higher than average,Slightly lower than average,Slightly lower than average,Slightly lower than average,Much lower than average
RTP,ALL CARE,245.5,213.5,32,.8697,77,36.5,43,57,8,8,5.5,10.5,140,150.7894,Lower than expected,8238,60.66666666666666,641.2888888888889,0,0,17.57954,0,0,0,0,YDF29,798.71509,40.48666,20.613331,766.17999,95.251457,15200,3672,3,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,11528,Did not financially perform as expected,Not in deficit," Kent, Surrey and Sussex",SURREY AND SUSSEX HEALTHCARE NHS TRUST,17.57954,Slightly higher than average,Slightly higher than average,Slightly lower than average,Slightly higher than average,None,None,Slightly lower than average,None,None,None,None,Slightly lower than average,Much lower than average,Slightly higher than average,Slightly lower than average,Slightly lower than average,Much lower than average
RTR,ALL CARE,428,354,74,.8271,105,60.5,77.5,111,23.5,20.5,16,14,389,372.9465,Above expected,9891,134.1888888888889,935.0333333333333,0,18.4,31.105,0,16.648399,12.9,6.3400002,YDF30,1801.8296,218.94099,38.599998,1765.5941,213.68443,8536,-10705,7,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,2169,Did not financially perform as expected,In deficit, North East,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,85.393402,Much higher than average,Slightly higher than average,Much higher than average,Much higher than average,None,Much higher than average,Slightly higher than average,None,Much higher than average,Slightly higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average
RTX,ALL CARE,237,200.5,36.5,.846,81.5,16.5,50.5,52,17,12,3.5,4,221,203.88879,Above expected,9203,131.6111111111111,675.7111111111111,0,0,18.949999,0,0,0,0,YDF31,1096.186,88.790924,19.34667,1124.0569,132.35185,-17059,-16034,3,Performed worse than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,Performed as expected,1025,Performed better or as expected financially,In deficit, North West,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,18.949999,Slightly higher than average,Slightly higher than average,Much higher than average,Slightly higher than average,None,None,Slightly lower than average,None,None,None,None,Slightly higher than average,Slightly higher than average,Slightly higher than average,Slightly higher than average,Slightly higher than average,Much lower than average
RVJ,ALL CARE,474,421.5,52.5,.8892,143,64.5,91.5,122.5,7,19,12,14.5,193,185.6178,Above expected,15652,106.6666666666667,892.4333333333333,0,0,33.599998,0,8.9300003,28.018002,0,YDF33,1454.5514,211.49298,41.546661,1616.5807,138.31897,-48033,-42922,4,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,Performed as expected,5111,Performed better or as expected financially,In deficit, South West,NORTH BRISTOL NHS TRUST,70.548004,Much higher than average,Much higher than average,Slightly higher than average,Much higher than average,None,None,Slightly higher than average,None,Slightly higher than average,Much higher than average,None,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Slightly higher than average,Slightly higher than average
